Start X,Start Y,Angle
615872.0333,814810.4763,11
615875.4497,814809.7282,6
615880.5599,814808.9210,9
615885.7362,814808.1702,12
615890.0400,814806.5916,18
615892.1878,814805.9742,17
615893.3038,814805.2123,20
615896.9648,814804.5028,12
615899.3668,814803.8316,20
615905.1302,814800.9697,21
615909.3565,814798.4633,24
615911.5323,814796.6442,41
615918.7972,814792.7578,10
615921.8458,814792.6743,1
