HOLE.ID,DISTANCE,AZIMUTH,DIP
BBK_560E_004,0,231,0
BBK_560E_005,0,231,0
BBK_560E_006,0,231,0
BBK_560E_007,0,231,0
BBK_560E_008,0,231,0
BBK_560E_009,0,231,0
BBK_560E_010,0,231,0
BBK_560E_011,0,231,0
BBK_560E_012,0,231,0
BBK_560E_013,0,231,0
BBK_560E_014,0,231,0
BBK_560E_015,0,231,0
BBK_560E_016,0,231,0
BBK_560W_001,0,231,0
BBK_560W_002,0,231,0
BBK_560W_003,0,231,0
BBK_560W_004,0,231,0
BBK_560W_005,0,231,0
BBK_560W_006,0,231,0
BBK_560W_007,0,231,0
BBK_560W_008,0,231,0
BBK_560W_009,0,237,0
BBK_560W_010,0,239,0
BBK_560W_011,0,240,0
BBK_560W_012,0,236,0
BBK_560W_013,0,240,0
BBK_560W_014,0,241,0
BBK_560W_015,0,242,0
BBK_560W_016,0,249,0
BBK_560W_017,0,249,0
BBK_560W_018,0,249,0
BBK_560W_019,0,249,0
BBK_560W_020,0,249,0
BBK_560W_021,0,247,0
BBK_560W_022,0,241,0
BBK_560W_023,0,243,0
BBK_560W_024,0,245,0
BBK_560W_025,0,242,0
BBK_560W_026,0,237,0
BBK_560W_027,0,235,0
BBK_560W_028,0,235,0
BBK_560W_029,0,231,0
BBK_560W_030,0,248,0
BBK_560W_031,0,245,0
BBK_560W_032,0,259,0
BBKNS_530E_001,0,228,0
BBKNS_530E_002,0,216,0
BBKNS_530E_003,0,226,0
BBKNS_530E_004,0,227,0
BBKNS_530E_005,0,227,0
BBKNS_530E_007,0,230,0
BBKNS_530E_008,0,227,0
BBKNS_530E_009,0,229,0
BBKNS_530E_010,0,227,0
BBKNS_530E_011,0,227,0
BBKNS_530E_012,0,227,0
BBKNS_530E_013,0,227,0
BBKNS_530E_014,0,227,0
BBKNS_530E_015,0,227,0
BBKNS_530E_016,0,227,0
BBKNS_530E_017,0,227,0
BBKNS_530E_018,0,227,0
BBKNS_530E_019,0,227,0
BBKNS_530E_020,0,227,0
BBKNS_530E_021,0,230,0
BBKNS_530E_022,0,227,0
BBKNS_530E_023,0,223,0
BHWS 490_E_18N_005,0,49.4,0
BHWS 490_E_18N_006,0,46.85,0
BHWS 490_E_30N_003,0,55.67,0
BHWS 509_W_003,0,6.98,0
BHWS 509_W_004,0,13.15,0
BHWS 509_W_005,0,33.11,0
BHWS 509_W_006,0,61.96,0
BHWS 509_W_008,0,67.3,0
BHWS 509_W_009,0,63.71,0
BHWS 509_W_010,0,63.71,0
BHWS 509_W_011,0,52.18,0
BHWS 509_W_012,0,50.18,0
BHWS 509_W_013,0,54.46,0
BHWS 509_W_015,0,60.08,0
BHWS 526_E_60S_002,0,28.94,0
BHWS 526_E_60S_003,0,24.4,0
BHWS 526_E_60S_004,0,16.16,0
BHWS 526_E_60S_006,0,26.81,0
BHWS 526_E_60S_007,0,25.9,0
BHWS 526_W_35S_002,0,32.69,0
BHWS 526_W_35S_003,0,41.92,0
BHWS 526_W_35S_004,0,32.07,0
BHWS 526_W_35S_005,0,28.16,0
BHWS 526_W_35S_006,0,23.88,0
BHWS 526_W_35S_007,0,26.38,0
BHWS 526_W_35S_008,0,34.34,0
BHWS 526_W_35S_009,0,71.44,0
BHWS 526_W_35S_012,0,60.25,0
BHWS 526_W_35S_013,0,53.34,0
BHWS 526_W_35S_015,0,61.59,0
BHWS 526_W_44S_001,0,57.03,0
