,Start X,Start Y,Angle
51,615602.2229,814937.5419,258
52,615604.9608,814938.0142,258
53,615609.4789,814940.0826,256
54,615612.5806,814941.13,253
55,615616.0324,814941.9319,255
56,615618.8442,814942.3639,267
57,615621.2795,814942.425,270
58,615624.1469,814942.7391,266
59,615628.8091,814943.8661,250
60,615631.2717,814944.2145,260
61,615634.2422,814943.904,263
62,615637.6888,814945.2465,252
63,615641.1951,814946.6288,247
64,615645.6244,814947.8155,248
65,615649.9049,814948.4288,255
