Start X,Start Y,Angle
615280.4294,815567.4326,50.42
615278.3338,815569.4687,42.8
615273.9809,815575.0857,57.87
615270.993,815579.1115,54.29
615267.7733,815584.9691,59.96
615266.1112,815587.064,48.18
615262.9818,815590.119,51.09
615260.251,815592.3925,46.06
615256.3652,815595.7384,54.3
615253.1571,815602.3765,78.54
615252.8829,815605.4205,81.79
615252.1799,815611.544,78.89
615251.3366,815614.1839,82.05
615249.7127,815620.5853,83.55
615249.5721,815624.0742,77.33
