Start X,Start Y,Angle
615229.3497,815698.0953,66.60
615228.7216,815700.1982,69.22
615227.6712,815702.8618,83.90
615227.5111,815704.3925,83.43
615226.7501,815709.8774,94.54
615226.9833,815714.9974,90.88
615226.9990,815716.7463,90.00
615227.4641,815720.9888,80.91
615227.5961,815722.4688,84.37
